eta,mean,std
0.1,13.22633,3.4568946008086505
0.3,6.101774999999999,1.7090198219666735
0.5,4.162465,1.2964426197387218
0.7,3.6332350000000004,1.3638390125945952
0.9,3.4318899999999997,1.4993200118387
