trail,mean,std
0,43.89,13.643969363788521
1,41.43,16.169882498027004
2,42.72,15.232255249962176
3,39.75,17.320724580686573
4,40.99,15.123157739043787
5,40.73,15.877565934361597
6,38.07,17.32469624553342
7,34.28,19.541279384932803
8,36.97,17.436430253925263
9,32.11,19.987443558394364
10,33.59,18.87331184503664
11,29.36,19.917088140589232
12,31.5,18.70641601162553
13,28.31,18.850302384842525
14,31.06,18.848246602801016
15,30.31,19.244581055455587
16,28.05,19.128186009133223
17,28.51,19.86831396973583
18,25.4,18.840382161729096
19,23.88,18.24734501235728
20,24.91,19.914364162583748
21,21.13,17.227103645128516
22,24.7,18.7954781796048
23,22.02,17.087995786516334
24,19.92,16.305630929221973
25,22.35,17.423762509859912
26,23.82,19.253768462303686
27,17.62,16.71154092236859
28,18.57,18.130777699812
29,18.4,17.639160977778964
30,17.98,14.913068094795248
31,19.26,17.478340882360662
32,16.04,14.826273975615045
33,17.62,15.768183154694775
34,18.81,17.17829735451101
35,18.3,15.873562927080991
36,17.71,15.822954844149686
37,14.31,13.645288564189475
38,16.41,15.589801153318152
39,15.28,13.06375137546639
40,15.73,15.645993097275738
41,14.19,13.481613404930437
42,16.06,14.102354413359494
43,14.87,14.222274782888995
44,12.71,11.516331881289291
45,15.77,15.111489006712743
46,16.65,14.093526882934587
47,15.49,13.204919537808623
48,13.6,12.201639234135712
49,12.37,12.341519355411634
50,14.54,12.123052420904568
51,11.88,10.44727715723097
52,14.71,13.256164603685336
53,12.29,11.260812581692317
54,14.01,13.28419737884077
55,11.71,11.173446200702811
56,13.72,12.477243285277401
57,12.16,10.36409185601903
58,11.27,8.992057606577042
59,12.64,11.446851095388634
60,10.87,9.104564789159337
61,10.54,9.767722354776474
62,11.55,9.328853091350513
63,11.41,10.136167914946952
64,11.71,8.852451637823275
65,10.74,9.8322123654852
66,12.79,11.836633812026125
67,10.81,9.309881846726089
68,10.41,7.713747467995046
69,11.09,10.314160169398184
70,10.32,8.856500437531746
71,11.28,9.538427543363738
72,10.74,9.136323111624282
73,11.78,10.021556765293502
74,10.83,8.944333401657165
75,9.32,7.700493490679672
76,10.44,9.31592185454558
77,10.63,8.533059240389699
78,9.29,6.722045819540359
79,10.27,9.477188401630519
80,10.04,6.827766838432607
81,10.84,8.703700362489503
82,10.1,7.586171630012073
83,9.15,7.077252291673655
84,9.22,5.842225603312491
85,9.65,7.182443873780013
86,9.67,6.305640332273957
87,9.78,7.8148320519381596
88,10.84,7.829074019320544
89,9.76,7.237568652524135
90,9.82,6.745932107574165
91,9.01,5.911844043951095
92,10.0,7.381056834898374
93,9.21,6.744323539095674
94,10.9,7.668767828015138
95,9.1,5.5740470037487135
96,10.75,7.084313657652377
97,8.66,5.15794532735662
98,8.59,5.580492809779438
99,8.13,5.056985267923964
100,9.69,6.220442106474427
101,8.91,6.269122745647913
102,8.66,5.3520463376170415
103,8.27,4.757846151358827
104,9.08,7.03232536221128
105,9.63,5.577911795645392
106,9.15,5.867495206644827
107,9.1,5.96405902049938
108,8.97,5.581137876813293
109,7.96,4.636636712100699
110,9.54,5.978996571332018
111,8.72,4.8581477951993195
