trail,mean,std
0,45.06,13.278418580538869
1,45.07,12.55966161964564
2,44.57,14.406425649688398
3,44.41,13.588300114436695
4,42.54,15.16602782537339
5,43.46,13.547265406715853
6,40.81,15.879984256919144
7,41.05,16.164389874041042
8,42.86,15.49259177800795
9,39.48,17.4324295495493
10,42.98,14.481008252190168
11,40.94,15.843497088711207
12,38.76,17.561389466668057
13,41.53,15.671282653312085
14,41.39,15.566563525711127
15,39.55,17.575195589238824
16,38.88,17.75740972101505
17,41.21,15.9118163639479
18,36.37,18.599276867663438
19,39.25,16.461090486356
20,38.61,17.508223781983148
21,39.7,16.15889847730965
22,40.43,16.458587424198964
23,38.13,16.551528630310855
24,38.58,17.735940911042736
25,38.21,18.128593436888575
26,34.84,18.608987076141457
27,33.18,19.065350770442183
28,33.72,19.329293830867176
29,34.07,18.373489053524906
30,35.79,18.626483833509745
31,32.58,18.635546678324197
32,31.47,18.665184167320714
33,36.56,18.856468386206373
34,33.36,18.678072705715646
35,32.68,19.252989378275785
36,35.0,18.287153961182696
37,33.2,18.517019198564338
38,33.08,19.172209053731915
39,29.87,19.631940810831715
40,30.04,19.72354937631663
41,31.5,20.027730775102807
42,31.34,18.993272493175045
43,31.15,20.50432881125349
44,29.14,19.235914327112187
45,30.79,17.733750308380905
46,30.52,19.110457869972652
47,27.97,19.178349772595137
48,28.46,19.832508666328625
49,31.46,17.743404408399186
50,33.18,18.49290674826432
51,26.36,17.963028697856053
52,29.43,19.7074884244543
53,24.99,18.90793219788986
54,26.31,18.24921642153438
55,29.13,18.897965498963107
56,26.63,19.34355448204906
57,28.93,18.8330852491035
58,27.69,18.700639026514573
59,25.96,19.72861880619118
60,29.38,18.116721557721192
61,27.4,19.099214643539664
62,29.6,19.63262590689285
63,25.47,19.407449600604405
64,28.97,19.589515052701028
65,24.78,19.073321682391875
66,23.25,18.290639682635486
67,23.54,17.87591675970774
68,27.65,19.68978161382192
69,21.67,18.330332784758706
70,22.91,18.37666727129814
71,27.36,19.573206175790414
72,23.97,18.42088760076452
73,21.55,18.476133253470547
74,24.02,18.459133240756458
75,26.66,19.885783866873336
76,23.93,18.677930827583662
77,22.43,17.012498346803742
78,22.19,19.122078861881096
79,21.44,18.58618842043736
80,25.81,18.671205103045704
81,23.98,19.83279102900044
82,23.74,18.63739252148755
83,20.63,18.500083783594064
84,23.31,18.3432249073057
85,21.55,17.765345479331383
86,20.78,17.064337080590033
87,20.97,17.932905509147144
88,21.45,17.659204398839723
89,21.23,16.51838672510121
90,22.13,17.440559050672658
91,22.34,18.362581517858537
92,21.18,17.22636351642447
93,21.17,17.82361074530074
94,17.24,16.156187669125416
95,22.51,18.148550906339594
96,19.99,18.358918813481363
97,20.31,16.76824081411047
98,24.19,18.18664070134999
