trail,mean,std
0,45.09,12.849198418578485
1,45.46,12.461476638023285
2,43.43,14.80625205783016
3,45.05,12.772137644106419
4,44.57,13.16605863574972
5,43.41,14.586360066856974
6,43.62,14.74569767762787
7,43.69,13.706710035599352
8,43.27,13.983458084465381
9,42.14,15.316670656510194
10,41.78,15.758540541560317
11,37.74,17.494353374732093
12,43.44,13.781378740895258
13,36.64,18.721388837369954
14,40.45,16.707707802089423
15,40.5,16.41371377842321
16,41.87,14.631237131562056
17,41.43,15.86080388883236
18,40.34,15.469466700568582
19,38.45,16.89696718349184
20,37.81,18.013714220004704
21,34.68,19.821140229562975
22,39.09,16.981221981942284
23,36.67,18.292104854280723
24,35.09,18.809622537414192
25,36.63,17.87940435249452
26,33.96,17.735794315451443
27,37.42,18.164900219929628
28,35.77,18.707674895614367
29,31.52,19.464572946766637
30,36.64,17.9797219110864
31,32.25,19.388849888531293
32,37.17,17.821927505183037
33,35.35,18.55821920336109
34,34.98,17.562448576437163
35,31.7,19.484609310940776
36,35.2,18.99631543220949
37,32.71,18.30753669940334
38,32.45,19.817353506459934
39,35.04,19.200999973959682
40,32.05,18.978606376654735
41,33.92,18.137078044712712
42,31.33,18.942045824039162
43,30.59,18.981620057308067
44,33.11,18.639686156156163
45,31.7,19.20286436967152
46,30.85,19.77694364657998
47,31.43,18.92155120490917
48,31.74,18.886831391210123
49,34.35,18.267115262131565
50,29.46,19.09262684912687
51,30.25,18.923200046503762
52,29.18,19.452701611858437
53,29.7,18.947031429751732
54,30.52,19.436810437929356
55,30.78,19.73047389192667
56,29.02,18.404879787708477
57,26.36,19.361053690334113
58,30.34,19.13908043768038
59,29.97,19.157481567262437
60,30.41,19.54998465472544
61,25.77,20.803776099545008
62,27.65,18.49290404452475
63,25.86,19.599499993622292
64,28.49,19.54558517926747
65,27.82,19.01387914130096
66,24.1,19.791159642628323
67,30.53,18.044641863999413
68,23.74,18.966612770866593
69,29.5,18.59919353090343
70,24.56,19.17515058611014
71,25.69,19.50009999974359
72,20.61,18.642904816578337
73,23.43,18.88399057402857
74,25.89,18.268494738209817
75,26.06,20.428323475018694
76,25.4,17.962182495454165
77,22.39,18.4113524761219
78,25.75,18.024635918653114
79,26.93,19.116618424815623
80,25.3,19.367756710574405
81,26.46,18.817768199231285
82,26.02,19.430892928530078
83,23.66,17.74667292762224
84,24.21,18.879245217963565
85,24.44,17.973491591785947
86,21.36,18.27813994913049
87,22.95,18.398029785822175
88,23.86,17.988340668332913
89,22.75,18.42247268962557
90,23.3,17.604260847874297
91,25.23,18.640737646348654
92,21.71,17.53698662826656
93,25.96,19.12690251974951
94,24.65,17.999097199581986
95,23.07,18.676324584885542
96,24.48,19.532782699861286
97,26.43,19.17146577599115
98,24.58,18.191855320444922
99,18.72,16.29299235867985
100,21.6,17.932094133145743
101,23.43,17.675550910792
102,22.54,18.420325730018998
103,21.46,17.35189903151814
104,22.13,17.77056836457405
105,17.74,16.206554229693612
106,19.81,16.622692321041132
107,20.78,17.24562553229079
108,18.72,17.22676986553196
109,23.94,18.678768696035608
110,21.11,17.8991033294967
111,20.33,17.35745084970717
112,20.66,17.12846753215243
113,18.09,16.8345448408919
114,19.09,17.089818606410073
115,16.09,15.585952008138609
116,23.1,17.053152201279385
117,20.06,17.870545598833857
118,18.9,17.367498380595862
119,19.22,16.760417655893903
120,20.62,17.990430789728183
121,17.0,16.910943202553785
122,18.96,17.22087105810853
123,20.0,17.60908856244411
124,21.14,17.227315519256045
125,16.54,14.595492454864274
126,19.88,17.251828888555558
127,16.97,15.932014938481576
128,21.34,17.539794753645204
129,17.87,16.512816234670574
130,17.41,17.145900384640054
131,16.31,16.16644364107332
132,18.68,16.583051588896417
133,17.34,15.737356830166876
134,19.79,17.342026986485752
135,17.54,14.160805061860005
136,16.32,15.667724786962527
137,17.93,16.269760293255704
138,17.72,16.338347529661622
139,17.85,15.465687828221544
140,18.17,17.20816957145646
141,20.59,17.02415636676308
142,19.26,16.011008712757608
143,17.85,16.588776326179097
144,17.31,17.18935426361328
145,15.28,14.652699410006335
146,18.07,16.27529108802666
147,18.31,16.74854919090009
148,18.5,16.59126276086302
149,17.8,15.73912322843938
150,17.63,16.61003010232071
151,16.63,14.394898401864463
152,18.18,16.68075537857923
153,16.04,15.27803652306146
154,17.95,15.9055807815999
155,15.89,15.365477538950751
156,16.39,15.454381255812216
157,18.11,15.486055017337371
158,17.05,14.81241033728137
159,18.97,16.49269838443667
160,14.71,13.253901312443825
161,17.64,15.713382831204742
162,18.93,15.867737708948932
163,16.64,15.36328089959954
164,15.31,13.960440537461558
165,16.45,15.803401532581528
166,16.97,15.722884595391523
167,18.23,16.558897910187138
168,14.8,14.456832294800963
169,15.83,14.820968254469744
170,15.45,14.722346959639287
171,15.02,14.317807094663623
172,17.03,15.413925522072565
173,15.49,14.150261481682941
174,15.27,14.352599067764697
175,16.72,14.659522502455529
176,14.06,13.298736782115812
177,16.23,14.515409053829655
178,14.31,14.811951255658382
179,16.07,14.121795211657762
180,15.84,15.405661297068681
181,12.8,12.966880889404363
182,15.97,14.681590513292486
183,17.88,14.708011422350749
184,16.63,13.478616397835498
185,12.66,12.900558127460997
186,15.11,13.807892670498275
187,15.18,14.799581075152094
188,15.56,14.311757404316213
189,14.96,13.602882047566245
190,12.92,11.04054346488432
191,13.67,13.4870715872646
192,13.85,12.305588161481761
193,15.28,13.981473455970225
194,15.13,14.535924463204948
195,15.58,13.936412737860483
196,14.19,13.96688583758026
197,15.91,14.32835998989417
198,14.24,12.907455210071427
199,14.74,14.154589361758251
200,14.26,14.7753984717841
201,14.12,15.346843323628477
202,14.6,14.125862805506783
203,13.64,14.038176519762102
204,13.51,13.442094330869727
205,14.55,12.276298302012709
206,14.57,13.790761400299838
207,15.45,14.972224283652714
208,15.17,14.305981266589159
209,14.78,13.33910041944358
210,14.06,12.499455988162042
211,13.34,12.997861362547301
212,16.11,15.910307979420137
213,14.45,13.516193990913271
214,13.96,12.501935850099379
215,15.13,13.732192104685986
216,15.03,14.60510527178767
217,15.2,13.411934983439194
218,16.1,14.44541449734136
219,15.79,14.406453415049798
220,13.86,13.020000000000001
221,13.13,12.074481355321227
222,13.1,12.9765172523293
223,13.37,12.466479053846761
224,14.79,13.929318001969804
225,16.83,15.427284271705114
226,16.08,15.176745369149478
227,13.41,14.049978647670608
228,15.05,14.986243692133137
229,14.18,13.091508698389193
230,12.63,11.916924938926147
231,14.53,13.894930730305926
232,13.98,13.962077209355346
233,13.82,13.593660287060285
234,14.75,13.87254482782449
235,11.71,11.295392866120242
236,15.56,13.280301201403526
237,13.74,13.37730914646141
238,15.02,13.518860898759188
239,13.27,13.705367561652627
240,13.13,12.533678629995265
241,13.85,13.431585907851685
242,15.25,13.335947660365198
243,15.0,13.813037319865606
244,13.76,13.034661483905142
245,13.47,12.94175799495571
246,11.13,9.721784815557276
247,12.72,12.089731179807101
248,15.64,14.569502393698968
249,12.1,12.447891387700968
250,14.37,14.220165259236614
251,14.01,13.383194685873772
252,13.94,13.900949607850535
253,13.13,12.713500698076828
254,14.07,14.050092526385725
255,12.4,12.098760267068686
256,14.44,12.967898827489364
257,10.9,11.537330713817644
258,13.28,12.018385914922185
259,13.15,11.254665699166722
260,12.8,11.058933040759403
261,12.98,12.34907283969124
262,12.43,12.706104831930203
263,13.83,11.721821530803137
264,10.4,9.660227740586656
265,13.64,13.305277148560268
266,14.05,13.073159526296617
267,12.95,12.998749939898072
268,14.42,13.602338034323365
269,11.07,10.958334727503082
270,13.24,12.263050191530652
271,12.86,12.773425538985224
272,11.83,10.4967185348565
273,11.28,11.57245004309805
274,12.59,12.44997590359114
275,12.01,11.264541712826135
276,13.12,12.021880052637357
277,10.84,10.821016588102982
278,13.34,12.54051035644084
279,10.05,10.1610776987483
280,13.86,12.345055690437365
281,12.28,12.851521310724268
282,13.74,12.399693544600204
283,11.57,10.989317540229694
284,12.2,11.23743743030412
285,11.6,11.661903789690596
286,10.23,8.983156460843812
287,10.89,10.904031364591722
288,12.5,12.20860352374505
289,12.16,9.64958030175406
290,13.55,12.316147936753604
291,11.15,9.767676284562262
292,10.65,11.343169750999936
293,11.11,12.510711410627295
294,12.48,12.754199308463075
295,10.74,10.849534552228496
296,11.09,11.647398851245717
297,11.21,10.510275924065928
298,12.22,10.582608374120248
299,12.22,13.207255581686914
300,11.7,10.991360243391169
301,12.51,11.165567607605087
302,12.27,11.226624604038385
